Batch Size: 128	Seq Len: 64
Testing Category: MS	Threshold: 0.05
Training Size: 18809	Validation Size: 4703
2019-02-25 19:27:52.498526
~~ Training / Validation ~~
Epoch: 0 Average Training Accuracy: 0.2857142857142857
Average Training Loss: 1.7788103510733364
Epoch: 0 Average Validation Accuracy: 0.3425473102275144
Average Validation Loss: 1.6372923238857373
Epoch: 10 Average Training Accuracy: 0.29931972789115646
Average Training Loss: 1.6048697127776892
Epoch: 10 Average Validation Accuracy: 0.31575590048904956
Average Validation Loss: 1.5662994900265255
Epoch: 20 Average Training Accuracy: 0.4013605442176871
Average Training Loss: 1.600617655280496
Epoch: 20 Average Validation Accuracy: 0.3161811609610886
Average Validation Loss: 1.5670789351334442
Epoch: 30 Average Training Accuracy: 0.326530612244898
Average Training Loss: 1.5897293098929788
Epoch: 30 Average Validation Accuracy: 0.32553689134594943
Average Validation Loss: 1.5498800374366142
Epoch: 40 Average Training Accuracy: 0.34693877551020413
Average Training Loss: 1.593292430144589
Epoch: 40 Average Validation Accuracy: 0.32766319370614505
Average Validation Loss: 1.5382210499531515
Number of Testing Enumerations: 7350
2019-02-28 09:47:27.695290
~~ Testing ~~
Video: WG0MBPpPC6I	Size: 535
"Ground Truth: [0.32 0.32 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.37 0.37
 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.42 0.42 0.42 0.42 0.42 0.42 0.42
 0.42 0.42 0.42 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.41
 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.34 0.34 0.34 0.34 0.34 0.34
 0.34 0.34 0.34 0.34 0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.46
 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.28 0.28 0.28 0.28 0.28
 0.28 0.28 0.28 0.28 0.28 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47
 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.39 0.39 0.39 0.39
 0.39 0.39 0.39 0.39 0.39 0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3
 0.3  0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.4  0.4  0.4  0.4
 0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4
 0.4  0.4  0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.32 0.32 0.32
 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.34 0.34 0.34 0.34 0.34 0.34 0.34
 0.34 0.34 0.58 0.58 0.58 0.58 0.58 0.58 0.58 0.58 0.58 0.58 0.38 0.38
 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.28 0.28 0.28 0.28 0.28 0.28
 0.28 0.28 0.28 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.41
 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.43 0.43 0.43 0.43 0.43 0.43
 0.43 0.43 0.43 0.43 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29
 0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.47 0.47 0.47 0.47 0.47
 0.47 0.47 0.47 0.47 0.47 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43
 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.29 0.29 0.29 0.29
 0.29 0.29 0.29 0.29 0.29 0.29 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27
 0.27 0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.4  0.41 0.41 0.41
 0.41 0.41 0.41 0.41 0.41 0.41 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47
 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.47 0.39 0.39 0.39
 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.3  0.3  0.3  0.3  0.3  0.3  0.3
 0.3  0.3  0.3  0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.27 0.27
 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.32 0.32 0.32 0.32 0.32 0.32
 0.32 0.32 0.32 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.36 0.29
 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.35 0.35 0.35 0.35 0.35
 0.35 0.35 0.35 0.35 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27
 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.52 0.52 0.52 0.52 0.52
 0.52 0.52 0.52 0.52 0.52 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29 0.29
 0.29 0.28 0.28 0.28 0.28 0.28 0.28 0.28 0.28 0.28 0.33 0.33 0.33 0.33
 0.33 0.33 0.33 0.33 0.33 0.33 0.34 0.34 0.34 0.34 0.34 0.34 0.34 0.34
 0.34 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.41 0.41 0.41
 0.41 0.41 0.41 0.41 0.41 0.41 0.41 0.43 0.43 0.43 0.43 0.43 0.43 0.43
 0.43 0.43 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.47 0.47
 0.47 0.47 0.47]"
"Generated: [0.3958857  0.39195368 0.39888605 0.3934     0.39526352 0.39270473
 0.38696644 0.3915514  0.389398   0.3884096  0.3865705  0.385661
 0.39056692 0.38771012 0.3925713  0.3853095  0.382817   0.39060885
 0.38628235 0.38199914 0.38401347 0.38531414 0.3824033  0.38492885
 0.39621085 0.3977064  0.39724118 0.39578226 0.39186153 0.39260304
 0.3861834  0.38695318 0.38484126 0.38641107 0.3860509  0.39257607
 0.39129424 0.39674762 0.38965723 0.3823936  0.3875049  0.3849602
 0.39052412 0.3903306  0.38877636 0.39325967 0.39028305 0.39318043
 0.3894682  0.39012086 0.38483998 0.3920901  0.39325342 0.39412853
 0.39405024 0.39353704 0.39325696 0.38884127 0.38140807 0.38825783
 0.3867364  0.38508707 0.3770654  0.38168162 0.39039516 0.40275735
